ContainerID,Capacity (Mt),Shipping Status,Allocated (Mt)
C002,70,0,70.0
C003,40,0,40.0
C004,60,0,60.0
C005,70,0,70.0
C007,70,0,70.0
C008,40,0,40.0
C011,40,0,40.0
C012,70,0,70.0
C015,60,0,60.0
C020,100,0,100.0
C022,30,0,30.0
C025,80,0,80.0
C026,40,0,40.0
C029,20,0,20.0
C030,20,0,20.0
C032,100,0,100.0
C035,70,0,70.0
C041,90,0,90.0
C042,70,0,70.0
C043,70,0,70.0
C044,40,0,40.0
C045,100,0,100.0
C048,90,0,90.0
C049,40,0,40.0
C050,100,0,100.0
C052,30,0,30.0
C054,50,0,50.0
C055,90,0,90.0
C057,20,0,20.0
C059,80,0,80.0
C060,90,0,90.0
C061,70,0,70.0
C063,20,0,20.0
C066,70,0,70.0
