Vessel_ID,Timestamp_Entry,Timestamp_Exit,Containers_Unloaded (TEUs),Containers_Loaded (TEUs),Time,Time_in_Hours,Entry_Day,Exit_Day
V0001,2023-09-16 02:37:27.553084,2023-11-01 14:37:27.558593,3021,3745,46 days 12:00:00.005509,1116.0000015302778,16,1
V0002,2023-09-28 10:37:27.553084,2023-10-29 15:37:27.558593,3156,2759,31 days 05:00:00.005509,749.0000015302777,28,29
V0003,2023-09-12 18:37:27.553084,2023-10-17 08:37:27.558593,1597,1979,34 days 14:00:00.005509,830.0000015302777,12,17
V0004,2023-09-07 12:37:27.553084,2023-10-12 11:37:27.558593,4096,1416,34 days 23:00:00.005509,839.0000015302777,7,12
V0005,2023-09-11 18:37:27.553084,2023-11-02 20:37:27.558593,597,2847,52 days 02:00:00.005509,1250.0000015302778,11,2
V0006,2023-09-06 18:37:27.553084,2023-10-26 10:37:27.558593,4087,519,49 days 16:00:00.005509,1192.0000015302778,6,26
V0007,2023-09-16 11:37:27.553084,2023-10-03 16:37:27.558593,1646,959,17 days 05:00:00.005509,413.0000015302778,16,3
V0008,2023-09-20 03:37:27.553084,2023-10-04 09:37:27.558593,480,1306,14 days 06:00:00.005509,342.0000015302778,20,4
V0009,2023-09-09 06:37:27.553084,2023-10-12 02:37:27.558593,184,128,32 days 20:00:00.005509,788.0000015302777,9,12
V0010,2023-09-14 15:37:27.553084,2023-10-20 16:37:27.558593,2667,674,36 days 01:00:00.005509,865.0000015302777,14,20
V0011,2023-09-14 09:37:27.553084,2023-10-22 16:37:27.558593,1614,2194,38 days 07:00:00.005509,919.0000015302777,14,22
V0012,2023-09-04 20:37:27.553084,2023-10-10 13:37:27.558593,3137,3824,35 days 17:00:00.005509,857.0000015302777,4,10
V0013,2023-09-29 09:37:27.553084,2023-10-23 01:37:27.558593,123,1967,23 days 16:00:00.005509,568.0000015302778,29,23
V0014,2023-09-13 06:37:27.553084,2023-10-22 23:37:27.558593,1155,3958,39 days 17:00:00.005509,953.0000015302777,13,22
V0015,2023-09-03 00:37:27.553084,2023-10-21 20:37:27.558593,4575,2503,48 days 20:00:00.005509,1172.0000015302778,3,21
V0016,2023-09-30 02:37:27.553084,2023-10-13 06:37:27.558593,3239,4260,13 days 04:00:00.005509,316.0000015302778,30,13
V0017,2023-09-26 18:37:27.553084,2023-10-14 18:37:27.558593,3032,3590,18 days 00:00:00.005509,432.0000015302778,26,14
V0018,2023-10-01 02:37:27.553084,2023-10-19 18:37:27.558593,1919,1263,18 days 16:00:00.005509,448.0000015302778,1,19
V0019,2023-09-19 20:37:27.553084,2023-10-23 04:37:27.558593,911,2357,33 days 08:00:00.005509,800.0000015302777,19,23
V0020,2023-09-10 13:37:27.553084,2023-10-11 18:37:27.558593,2066,2635,31 days 05:00:00.005509,749.0000015302777,10,11
V0021,2023-08-31 05:37:27.553084,2023-10-27 04:37:27.558593,1654,3547,56 days 23:00:00.005509,1367.0000015302778,31,27
V0022,2023-09-07 19:37:27.553084,2023-10-30 04:37:27.558593,3187,2134,52 days 09:00:00.005509,1257.0000015302778,7,30
V0023,2023-09-30 17:37:27.553084,2023-10-31 03:37:27.558593,2130,574,30 days 10:00:00.005509,730.0000015302777,30,31
V0024,2023-09-17 15:37:27.553084,2023-10-28 13:37:27.558593,3796,3837,40 days 22:00:00.005509,982.0000015302777,17,28
V0025,2023-09-06 21:37:27.553084,2023-10-15 04:37:27.558593,3266,2966,38 days 07:00:00.005509,919.0000015302777,6,15
V0026,2023-09-12 21:37:27.553084,2023-10-25 12:37:27.558593,3468,1472,42 days 15:00:00.005509,1023.0000015302777,12,25
V0027,2023-09-21 07:37:27.553084,2023-10-28 05:37:27.558593,3982,2992,36 days 22:00:00.005509,886.0000015302777,21,28
V0028,2023-09-20 23:37:27.553084,2023-10-10 02:37:27.558593,302,459,19 days 03:00:00.005509,459.0000015302778,20,10
V0029,2023-09-08 19:37:27.553084,2023-10-25 13:37:27.558593,1378,2995,46 days 18:00:00.005509,1122.0000015302778,8,25
V0030,2023-09-09 04:37:27.553084,2023-10-08 17:37:27.558593,1291,4181,29 days 13:00:00.005509,709.0000015302777,9,8
V0031,2023-09-15 19:37:27.553084,2023-10-09 05:37:27.558593,1607,1781,23 days 10:00:00.005509,562.0000015302778,15,9
V0032,2023-09-12 06:37:27.553084,2023-10-11 09:37:27.558593,2931,489,29 days 03:00:00.005509,699.0000015302777,12,11
V0033,2023-09-20 19:37:27.553084,2023-11-02 07:37:27.558593,4380,193,42 days 12:00:00.005509,1020.0000015302777,20,2
V0034,2023-09-29 16:37:27.553084,2023-10-02 22:37:27.558593,2894,75,3 days 06:00:00.005509,78.00000153027777,29,2
V0035,2023-09-07 04:37:27.553084,2023-10-02 10:37:27.558593,1228,1930,25 days 06:00:00.005509,606.0000015302777,7,2
V0036,2023-09-15 03:37:27.553084,2023-10-30 19:37:27.558593,406,4165,45 days 16:00:00.005509,1096.0000015302778,15,30
V0037,2023-08-31 13:37:27.553084,2023-10-27 02:37:27.558593,318,2516,56 days 13:00:00.005509,1357.0000015302778,31,27
V0038,2023-09-01 18:37:27.553084,2023-10-22 21:37:27.558593,1063,2253,51 days 03:00:00.005509,1227.0000015302778,1,22
V0039,2023-09-16 01:37:27.553084,2023-10-27 00:37:27.558593,1526,876,40 days 23:00:00.005509,983.0000015302777,16,27
V0040,2023-09-05 11:37:27.553084,2023-10-12 06:37:27.558593,1491,191,36 days 19:00:00.005509,883.0000015302777,5,12
V0041,2023-09-16 12:37:27.553084,2023-11-01 13:37:27.558593,433,1680,46 days 01:00:00.005509,1105.0000015302778,16,1
V0042,2023-09-07 07:37:27.553084,2023-10-27 03:37:27.558593,117,4355,49 days 20:00:00.005509,1196.0000015302778,7,27
V0043,2023-09-06 14:37:27.553084,2023-10-13 17:37:27.558593,2946,3762,37 days 03:00:00.005509,891.0000015302777,6,13
V0044,2023-08-29 14:37:27.553084,2023-10-09 15:37:27.558593,1747,1950,41 days 01:00:00.005509,985.0000015302777,29,9
V0045,2023-09-22 18:37:27.553084,2023-10-15 19:37:27.558593,210,1960,23 days 01:00:00.005509,553.0000015302778,22,15
