ContainerID,Capacity (Mt),Shipping Status,Allocated (Mt)
C620,70,0,70.0
C621,80,0,80.0
C622,20,0,20.0
C623,20,0,20.0
C626,40,0,40.0
C627,70,0,70.0
C628,90,0,90.0
C629,20,0,20.0
C631,100,0,100.0
C632,90,0,90.0
C633,50,0,50.0
C634,50,0,50.0
C636,90,0,90.0
C637,50,0,50.0
C639,100,0,100.0
C640,80,0,80.0
C641,60,0,60.0
C643,60,0,60.0
C645,80,0,80.0
C646,100,0,100.0
C647,50,0,50.0
C648,70,0,70.0
C649,70,0,70.0
C652,70,0,70.0
C653,40,0,40.0
C654,100,0,100.0
C657,60,0,60.0
C658,50,0,50.0
C659,30,0,30.0
C660,60,0,60.0
C662,100,0,100.0
C663,20,0,20.0
C665,30,0,30.0
C668,50,0,50.0
C670,40,0,40.0
