ContainerID,Capacity (Mt),Shipping Status,Allocated (Mt)
C002,70,0,70.0
C003,40,0,40.0
C004,60,0,60.0
C005,70,0,70.0
C007,70,0,70.0
C008,40,0,40.0
C011,40,0,40.0
C012,70,0,70.0
C015,60,0,60.0
C020,100,0,100.0
C022,30,0,30.0
C025,80,0,80.0
C026,40,0,40.0
C029,20,0,20.0
C030,20,0,20.0
C032,100,0,100.0
C035,70,0,70.0
C041,90,0,90.0
C042,70,0,70.0
C043,70,0,70.0
C044,40,0,40.0
C045,100,0,100.0
C048,90,0,90.0
C049,40,0,40.0
C050,100,0,100.0
C052,30,0,30.0
C054,50,0,50.0
C055,90,0,90.0
C057,20,0,20.0
C059,80,0,80.0
C060,90,0,90.0
C061,70,0,70.0
C063,20,0,20.0
C066,70,0,70.0
C067,100,0,100.0
C068,40,0,40.0
C069,50,0,50.0
C073,80,0,80.0
C077,60,0,60.0
C078,70,0,70.0
C079,50,0,50.0
C080,100,0,100.0
C081,60,0,60.0
C086,70,0,70.0
C087,40,0,40.0
C088,50,0,50.0
C089,90,0,90.0
C094,100,0,100.0
C095,20,0,20.0
C102,100,0,100.0
C103,60,0,60.0
C109,50,0,50.0
C112,20,0,20.0
C113,100,0,100.0
C114,50,0,50.0
C119,60,0,60.0
C120,80,0,80.0
C123,90,0,90.0
C126,80,0,80.0
C127,40,0,40.0
C128,30,0,30.0
C130,50,0,50.0
C132,90,0,90.0
C138,30,0,30.0
C139,20,0,20.0
C140,70,0,70.0
C146,70,0,70.0
C148,80,0,80.0
C149,60,0,60.0
C150,20,0,20.0
C151,70,0,70.0
C152,50,0,50.0
C154,60,0,60.0
C155,40,0,40.0
C156,100,0,100.0
C157,80,0,80.0
C158,100,0,100.0
C159,30,0,30.0
C160,20,0,20.0
C162,50,0,50.0
C166,80,0,80.0
C167,30,0,30.0
C168,30,0,30.0
C169,80,0,80.0
C173,90,0,90.0
C176,80,0,80.0
C177,100,0,100.0
C178,100,0,100.0
C179,80,0,80.0
C181,90,0,90.0
C182,80,0,80.0
C184,40,0,40.0
C185,20,0,20.0
C186,30,0,30.0
C188,80,0,80.0
C190,70,0,70.0
C193,100,0,100.0
C194,40,0,40.0
C195,30,0,30.0
C196,30,0,30.0
C198,20,0,20.0
C200,50,0,50.0
C201,60,0,60.0
C202,90,0,90.0
C204,80,0,80.0
C207,20,0,20.0
C208,60,0,60.0
C210,100,0,100.0
C211,30,0,30.0
C212,90,0,90.0
C215,40,0,40.0
C219,90,0,90.0
C220,70,0,70.0
C221,30,0,30.0
C224,90,0,90.0
C225,50,0,50.0
C226,40,0,40.0
C227,100,0,100.0
C229,90,0,90.0
C231,70,0,70.0
C233,80,0,80.0
C234,90,0,90.0
C237,50,0,50.0
C238,80,0,80.0
C240,90,0,90.0
C245,50,0,50.0
C246,90,0,90.0
C247,50,0,50.0
C248,40,0,40.0
C249,80,0,80.0
C250,30,0,30.0
C252,80,0,80.0
C256,30,0,30.0
C258,40,0,40.0
C259,80,0,80.0
C261,30,0,30.0
C262,80,0,80.0
C263,70,0,70.0
C265,40,0,40.0
C266,30,0,30.0
C268,100,0,100.0
C270,80,0,80.0
C271,30,0,30.0
C272,50,0,50.0
C273,70,0,70.0
C274,70,0,70.0
C275,60,0,60.0
C277,70,0,70.0
C278,70,0,70.0
C279,80,0,80.0
C280,30,0,30.0
C281,80,0,80.0
C283,100,0,100.0
C287,40,0,40.0
C289,100,0,100.0
C291,60,0,60.0
C294,40,0,40.0
C295,40,0,40.0
C297,40,0,40.0
C298,30,0,30.0
C299,50,0,50.0
C301,90,0,90.0
C302,100,0,100.0
C303,40,0,40.0
C304,80,0,80.0
C305,50,0,50.0
C307,20,0,20.0
C309,80,0,80.0
C310,100,0,100.0
C312,60,0,60.0
C313,50,0,50.0
C314,30,0,30.0
C316,70,0,70.0
C318,100,0,100.0
C319,50,0,50.0
C322,50,0,50.0
C323,90,0,90.0
C324,70,0,70.0
C325,60,0,60.0
C326,100,0,100.0
C329,90,0,90.0
C336,70,0,70.0
C338,80,0,80.0
C340,70,0,70.0
C343,90,0,90.0
C344,30,0,30.0
C345,70,0,70.0
C346,20,0,20.0
C347,70,0,70.0
C350,30,0,30.0
C351,80,0,80.0
C352,50,0,50.0
C353,70,0,70.0
C355,40,0,40.0
C356,30,0,30.0
C358,30,0,30.0
C360,40,0,40.0
C361,40,0,40.0
C368,30,0,30.0
C371,60,0,60.0
C372,20,0,20.0
C373,60,0,60.0
C374,70,0,70.0
C377,80,0,80.0
C381,40,0,40.0
C382,40,0,40.0
C383,50,0,50.0
C386,40,0,40.0
C387,40,0,40.0
C388,50,0,50.0
C389,100,0,100.0
C391,80,0,80.0
C393,20,0,20.0
C398,100,0,100.0
C402,70,0,70.0
C403,20,0,20.0
C404,50,0,50.0
C407,100,0,100.0
C409,30,0,30.0
C411,50,0,50.0
C413,70,0,70.0
C414,100,0,100.0
C416,50,0,50.0
C419,20,0,20.0
C420,70,0,70.0
C421,100,0,100.0
C423,40,0,40.0
C424,40,0,40.0
C425,70,0,70.0
C426,20,0,20.0
C427,20,0,20.0
C429,100,0,100.0
C434,50,0,50.0
C438,90,0,90.0
C439,30,0,30.0
C441,50,0,50.0
C443,100,0,100.0
C446,90,0,90.0
C447,100,0,100.0
C448,60,0,60.0
C450,50,0,50.0
C455,30,0,30.0
C456,20,0,20.0
C457,20,0,20.0
C458,60,0,60.0
C459,100,0,100.0
C460,70,0,70.0
C462,40,0,40.0
C463,70,0,70.0
C464,50,0,50.0
C466,60,0,60.0
C471,50,0,50.0
C472,70,0,70.0
C473,90,0,90.0
C474,60,0,60.0
C477,60,0,60.0
C483,70,0,70.0
C484,50,0,50.0
C485,70,0,70.0
C487,90,0,90.0
C489,70,0,70.0
C490,20,0,20.0
C493,70,0,70.0
C494,60,0,60.0
C498,30,0,30.0
C501,90,0,90.0
C504,90,0,90.0
C508,50,0,50.0
C509,80,0,80.0
C513,100,0,100.0
C515,50,0,50.0
C520,100,0,100.0
C522,50,0,50.0
C526,90,0,90.0
C527,20,0,20.0
C529,30,0,30.0
C531,60,0,60.0
C532,70,0,70.0
C533,20,0,20.0
C540,100,0,100.0
C545,30,0,30.0
C547,90,0,90.0
C548,70,0,70.0
C553,40,0,40.0
C554,30,0,30.0
C556,30,0,30.0
C557,60,0,60.0
C559,60,0,60.0
C560,70,0,70.0
C563,30,0,30.0
C565,60,0,60.0
C566,70,0,70.0
C567,70,0,70.0
C568,100,0,100.0
C570,30,0,30.0
C571,30,0,30.0
C575,50,0,50.0
C579,50,0,50.0
C580,100,0,100.0
C581,70,0,70.0
C582,20,0,20.0
C585,20,0,20.0
C587,80,0,80.0
C588,20,0,20.0
C590,60,0,60.0
C591,50,0,50.0
C595,40,0,40.0
C596,50,0,50.0
C597,70,0,70.0
C598,80,0,80.0
C600,30,0,30.0
C602,60,0,60.0
C611,80,0,80.0
C615,70,0,70.0
C616,100,0,100.0
C618,60,0,60.0
C620,70,0,70.0
C621,80,0,80.0
C622,20,0,20.0
C623,20,0,20.0
C626,40,0,40.0
C627,70,0,70.0
C628,90,0,90.0
C629,20,0,20.0
C631,100,0,100.0
C632,90,0,90.0
C633,50,0,50.0
C634,50,0,50.0
C636,90,0,90.0
C637,50,0,50.0
C639,100,0,100.0
C640,80,0,80.0
C641,60,0,60.0
C643,60,0,60.0
C645,80,0,80.0
C646,100,0,100.0
C647,50,0,50.0
C648,70,0,70.0
C649,70,0,70.0
C652,70,0,70.0
C653,40,0,40.0
C654,100,0,100.0
C657,60,0,60.0
C658,50,0,50.0
C659,30,0,30.0
C660,60,0,60.0
C662,100,0,100.0
C663,20,0,20.0
C665,30,0,30.0
C668,50,0,50.0
C670,40,0,40.0
C673,100,0,100.0
C675,50,0,50.0
C676,20,0,20.0
C678,60,0,60.0
C679,40,0,40.0
C682,40,0,40.0
C683,50,0,50.0
C686,30,0,30.0
C688,30,0,30.0
C689,40,0,40.0
C691,40,0,40.0
C693,100,0,100.0
C696,70,0,70.0
C697,80,0,80.0
C699,80,0,80.0
C703,20,0,20.0
C704,90,0,90.0
C705,20,0,20.0
C706,30,0,30.0
C709,30,0,30.0
C711,50,0,50.0
C713,50,0,50.0
C714,90,0,90.0
C716,30,0,30.0
C718,20,0,20.0
C720,70,0,70.0
C721,90,0,90.0
C722,60,0,60.0
C723,50,0,50.0
C724,30,0,30.0
C725,90,0,90.0
C727,50,0,50.0
C730,40,0,40.0
C731,90,0,90.0
C732,20,0,20.0
C733,60,0,60.0
C736,70,0,70.0
C738,80,0,80.0
C739,70,0,70.0
C743,30,0,30.0
C744,80,0,80.0
C747,100,0,100.0
C750,70,0,70.0
C751,80,0,80.0
C752,90,0,90.0
C755,30,0,30.0
C756,20,0,20.0
C762,70,0,70.0
C764,100,0,100.0
C765,100,0,100.0
C766,50,0,50.0
C768,70,0,70.0
C770,70,0,70.0
C771,50,0,50.0
C773,40,0,40.0
C774,20,0,20.0
C775,50,0,50.0
C777,70,0,70.0
C781,30,0,30.0
C783,90,0,90.0
C789,90,0,90.0
C790,20,0,20.0
C791,70,0,70.0
C792,100,0,100.0
C795,40,0,40.0
C796,70,0,70.0
C797,50,0,50.0
C798,40,0,40.0
C800,100,0,100.0
C802,50,0,50.0
C803,70,0,70.0
C804,30,0,30.0
C808,40,0,40.0
C815,70,0,70.0
C817,20,0,20.0
C819,20,0,20.0
C821,20,0,20.0
C822,70,0,70.0
C825,80,0,80.0
C826,100,0,100.0
C829,90,0,90.0
C830,30,0,30.0
C831,50,0,50.0
C832,60,0,60.0
C833,40,0,40.0
C838,100,0,100.0
C839,80,0,80.0
C841,80,0,80.0
C842,100,0,100.0
C845,40,0,40.0
C846,50,0,50.0
C848,80,0,80.0
C849,30,0,30.0
C850,90,0,90.0
C851,80,0,80.0
C857,80,0,80.0
C858,30,0,30.0
C861,90,0,90.0
C862,70,0,70.0
C868,30,0,30.0
C869,70,0,70.0
C870,40,0,40.0
C871,20,0,20.0
